t,c_in
621.453,1.37E-06
622.031,1.48E-06
622.609,1.42E-06
623.203,1.38E-06
623.781,1.46E-06
624.359,1.50E-06
624.969,1.42E-06
625.547,1.52E-06
626.14,1.43E-06
626.719,1.46E-06
627.297,1.38E-06
627.875,1.48E-06
628.469,1.45E-06
629.047,1.33E-06
629.625,1.32E-06
630.219,1.32E-06
630.797,1.47E-06
631.375,1.44E-06
631.969,1.63E-06
632.547,1.33E-06
633.125,1.42E-06
633.703,1.48E-06
634.297,1.34E-06
634.875,1.39E-06
635.453,1.36E-06
636.047,1.57E-06
636.625,1.28E-06
637.203,1.31E-06
637.781,1.27E-06
638.375,1.26E-06
638.953,1.31E-06
639.547,1.33E-06
640.125,1.44E-06
640.703,1.32E-06
641.281,1.29E-06
641.875,1.41E-06
642.453,1.20E-06
643.031,1.37E-06
643.609,1.17E-06
644.203,1.40E-06
644.781,1.20E-06
645.359,1.18E-06
645.937,1.34E-06
646.515,1.32E-06
647.094,1.33E-06
647.672,1.32E-06
648.265,1.33E-06
648.875,1.36E-06
649.453,1.36E-06
650.031,1.35E-06
650.609,1.26E-06
651.187,1.24E-06
651.765,1.27E-06
652.344,1.21E-06
652.937,1.16E-06
653.515,1.13E-06
654.094,1.13E-06
654.672,1.22E-06
655.265,1.34E-06
655.844,1.26E-06
656.422,1.16E-06
657.015,1.28E-06
657.594,1.39E-06
658.172,1.31E-06
658.75,1.29E-06
659.344,1.41E-06
659.922,1.19E-06
660.5,1.33E-06
661.094,1.36E-06
661.672,1.10E-06
662.25,1.21E-06
662.828,1.23E-06
663.422,1.30E-06
664.015,1.13E-06
664.609,1.27E-06
665.187,1.16E-06
665.781,1.35E-06
666.359,1.15E-06
666.937,1.17E-06
667.515,1.19E-06
668.109,1.17E-06
668.687,1.32E-06
669.281,1.16E-06
669.859,1.20E-06
670.437,1.29E-06
671.015,1.13E-06
671.609,1.17E-06
672.187,1.20E-06
672.781,1.25E-06
673.359,1.06E-06
673.937,1.16E-06
674.531,1.08E-06
675.109,1.15E-06
675.703,1.10E-06
676.281,1.22E-06
676.875,1.18E-06
677.453,1.24E-06
678.031,1.21E-06
678.625,1.24E-06
679.203,1.07E-06
679.797,1.12E-06
680.375,1.15E-06
680.969,1.03E-06
681.547,1.24E-06
682.125,1.08E-06
682.719,1.13E-06
683.328,1.09E-06
683.922,1.02E-06
684.5,1.17E-06
685.078,1.22E-06
685.656,1.17E-06
686.25,1.15E-06
686.828,1.08E-06
687.406,1.19E-06
688,1.17E-06
688.578,1.12E-06
689.172,1.24E-06
689.765,1.03E-06
690.359,1.22E-06
690.937,1.08E-06
691.515,1.15E-06
692.094,1.14E-06
692.672,1.23E-06
693.265,1.11E-06
693.844,1.08E-06
694.422,1.21E-06
695.015,1.18E-06
695.609,1.11E-06
696.203,1.11E-06
696.797,1.18E-06
697.375,1.13E-06
697.969,1.11E-06
698.562,1.11E-06
699.14,1.16E-06
699.719,1.04E-06
700.312,9.82E-07
700.89,1.08E-06
701.484,1.09E-06
702.062,1.08E-06
702.64,1.20E-06
703.234,1.07E-06
703.812,1.10E-06
704.39,1.07E-06
704.984,9.79E-07
705.562,1.12E-06
706.14,1.06E-06
706.734,1.21E-06
707.328,1.17E-06
707.906,1.07E-06
708.5,9.88E-07
709.094,1.08E-06
709.672,1.05E-06
710.25,1.08E-06
710.828,1.13E-06
711.406,1.16E-06
711.984,1.08E-06
712.578,1.04E-06
713.156,1.04E-06
713.734,9.80E-07
714.328,1.02E-06
714.937,1.12E-06
715.515,1.03E-06
716.094,1.07E-06
716.687,9.61E-07
717.265,9.71E-07
717.844,1.10E-06
718.422,9.25E-07
719,1.09E-06
719.594,9.99E-07
720.172,1.07E-06
720.765,9.17E-07
721.344,9.18E-07
721.922,9.66E-07
722.5,1.11E-06
723.078,1.14E-06
723.672,1.07E-06
724.25,1.05E-06
724.828,9.91E-07
725.406,1.02E-06
726,9.37E-07
726.578,1.07E-06
727.156,9.75E-07
727.75,1.08E-06
728.328,1.12E-06
728.906,9.71E-07
729.5,1.04E-06
730.078,1.05E-06
730.656,9.31E-07
731.25,1.03E-06
731.828,1.03E-06
732.406,9.21E-07
732.984,9.99E-07
733.578,1.05E-06
734.156,1.04E-06
734.734,9.75E-07
735.328,9.59E-07
735.922,1.09E-06
736.515,9.71E-07
737.094,1.09E-06
737.672,8.62E-07
738.265,9.69E-07
738.844,9.30E-07
739.422,9.80E-07
740,9.48E-07
740.594,9.94E-07
741.187,1.01E-06
741.765,9.04E-07
742.344,9.98E-07
742.937,1.00E-06
743.515,9.45E-07
744.094,9.84E-07
744.687,9.20E-07
745.265,9.53E-07
745.844,1.01E-06
746.422,9.11E-07
747,9.96E-07
747.578,9.82E-07
748.156,1.07E-06
748.734,1.06E-06
